id,loss
4,1089.6435703605966
6,1989.5898922997403
9,11049.375738341856
12,5736.539854082788
15,-4.8295315780815145
17,2165.124098075492
21,2452.1632196771425
28,237.75177303465534
32,2238.04431028659
43,3417.888349655117
46,3662.846078413295
50,1392.5758712518364
54,1960.5249153192017
62,3237.373860840373
70,3056.121030839324
71,6799.446323549069
75,2168.9136246949383
77,3157.644940390528
81,2953.5532839254192
83,2712.068594915134
87,2279.097650589454
97,2450.165497142654
103,1806.4869730480423
119,1341.641222166505
120,2114.066068286844
127,1979.1949215795976
138,5191.452846928194
141,3836.967017250965
148,1021.1629694180592
150,2703.3737007367345
151,2628.118179577348
158,1903.1400910436314
160,7508.862866434021
165,3523.847892973641
168,3784.4424044494335
169,4085.0640039215286
177,3226.7455256187386
178,4326.586820230434
184,1932.0265790328667
194,8543.630630832871
198,1918.1816486279022
203,5610.761540313484
211,2812.648870341596
217,977.1308003408012
219,1033.6448003515761
221,4798.90870009955
227,2267.002113766688
230,825.9183200633379
235,2674.228619539903
240,1198.5283156327096
243,3920.8191143399054
249,6404.872819621472
253,2364.2206399876995
258,891.0521428989996
261,1987.287035640038
263,3489.087223731982
264,4000.470658850274
265,6072.12363099822
268,1777.9067961435976
271,1060.5625785562115
274,6419.018176368154
275,259.26700334203997
279,2667.2746118929863
282,1548.2200315201117
286,2704.5386251572236
288,1157.4049698733907
294,4000.4630795734993
296,851.6134575026445
297,1592.1927884093275
300,133.65046827119295
303,8127.662879016585
314,957.8108742790719
315,5078.030080744764
321,2548.6679767178102
323,4799.064971112806
330,4834.310028939632
341,1846.3113511442316
342,5275.353638708453
352,1848.7507178817177
353,4267.308427844546
360,7037.841754321395
361,2157.6932106450513
362,3748.934664752869
366,956.7709279098963
372,3990.758063810521
376,3720.4432144651037
377,2792.1114208553117
379,1122.8200678245012
380,4541.249068570956
387,1305.7172469641919
392,1283.5355607419224
394,10676.157523316862
395,2402.352125690373
397,1415.829381803378
407,5084.511899813784
411,6880.142184544944
416,3354.224318547982
417,2089.3703736273746
419,4807.901459745517
428,5631.514316148248
431,1948.4653178595217
436,6505.467978059867
438,1805.3896475335532
445,6398.704882496742
446,6667.11916848793
455,1164.413210099683
456,829.4816984643694
461,491.3225280246006
463,1651.8961873355693
464,3827.8085460391703
466,2150.337624849937
467,2731.0770595124923
470,1780.2331238332954
475,1472.3498114125978
482,4788.833577973688
490,3217.2227741757342
496,2989.709187583503
497,6206.015268734205
508,3381.6063598689943
510,3229.1872724361674
512,3842.0772322256853
513,3736.120777043434
523,2320.460336896602
531,5707.487838011992
532,3488.1513281298576
533,1538.434599889948
537,765.9756636049569
544,5131.313417484169
547,3497.711934006511
556,7639.911109698529
565,1571.640911527269
566,1534.3678769470353
571,1245.3651656347902
573,1480.5723871772461
574,966.6376170613912
581,3208.3235409683693
585,2402.1554385633717
589,2566.2017597159065
597,1403.4871965158527
601,2959.337045541044
602,2732.3944194439573
613,2684.0342647094476
616,1748.9999370069454
619,1966.1541400518327
622,2847.059527027275
623,2311.0466650447233
629,1470.3859814985226
634,1499.225008983005
638,-318.61997382391564
642,1277.8395017711882
643,2614.9280506021605
645,873.5040892436664
648,6682.319057636749
652,2276.8491272815154
664,682.1226630699712
666,2505.1063555624096
672,555.8771184034449
676,2763.957587075147
678,4604.087333594041
682,1805.8820203046307
686,3218.4464655739284
688,3032.342996659252
689,1828.7200385982214
690,2732.3552366950316
692,8010.812259989754
695,1932.0607884164383
697,5131.56364611342
698,1206.1748842649213
706,2930.7783142168664
708,2096.128340638421
712,4578.753403081362
715,3718.7137806971696
717,1304.4632782260305
725,3008.5181686796277
729,1496.1962606944217
737,648.6767396760697
739,5193.520294678921
747,4163.397478534556
753,2815.1220947196416
758,3121.252217685822
759,3065.0713640741815
763,1710.773674691438
773,4933.79709060122
774,1877.181276733998
776,1708.4097221930206
788,5180.841444371792
790,3860.8806085571523
794,1870.920101896012
801,3458.2300637853587
802,2797.139643676106
805,1981.1777462352402
